,English,Hindi,Japanese,Arabic,Chinese
English,1.1102230246251565e-16,0.1856349786353736,0.05359585588654869,0.06110666590914915,0.04378680917312194
Hindi,0.1856349786353736,0.0,0.15694684608404785,0.1854430931774177,0.18871780467545385
Japanese,0.05359585588654869,0.15694684608404785,0.0,0.05342853799606895,0.025059002725772883
Arabic,0.06110666590914915,0.1854430931774178,0.05342853799606895,1.1102230246251565e-16,0.039739433086921405
Chinese,0.04378680917312183,0.18871780467545385,0.025059002725772772,0.039739433086921516,0.0
